folder;filename;angle
train;samolot00001.png;-45
train;samolot00003.png;-44.77498875
train;samolot00005.png;-44.5499775
train;samolot00007.png;-44.32496625
train;samolot00009.png;-44.099955
train;samolot00011.png;-43.87494375
train;samolot00013.png;-43.6499325
train;samolot00015.png;-43.42492125
train;samolot00017.png;-43.19991
train;samolot00019.png;-42.97489874
train;samolot00021.png;-42.74988749
train;samolot00023.png;-42.52487624
train;samolot00025.png;-42.29986499
train;samolot00027.png;-42.07485374
train;samolot00029.png;-41.84984249
train;samolot00031.png;-41.62483124
train;samolot00033.png;-41.39981999
train;samolot00035.png;-41.17480874
train;samolot00037.png;-40.94979749
train;samolot00039.png;-40.72478624
train;samolot00041.png;-40.49977499
train;samolot00043.png;-40.27476374
train;samolot00045.png;-40.04975249
train;samolot00047.png;-39.82474124
train;samolot00049.png;-39.59972999
train;samolot00051.png;-39.37471874
train;samolot00053.png;-39.14970749
train;samolot00055.png;-38.92469623
train;samolot00057.png;-38.69968498
train;samolot00059.png;-38.47467373
train;samolot00061.png;-38.24966248
train;samolot00063.png;-38.02465123
train;samolot00065.png;-37.79963998
train;samolot00067.png;-37.57462873
train;samolot00069.png;-37.34961748
train;samolot00071.png;-37.12460623
train;samolot00073.png;-36.89959498
train;samolot00075.png;-36.67458373
train;samolot00077.png;-36.44957248
train;samolot00079.png;-36.22456123
train;samolot00081.png;-35.99954998
train;samolot00083.png;-35.77453873
train;samolot00085.png;-35.54952748
train;samolot00087.png;-35.32451623
train;samolot00089.png;-35.09950498
train;samolot00091.png;-34.87449372
train;samolot00093.png;-34.64948247
train;samolot00095.png;-34.42447122
train;samolot00097.png;-34.19945997
train;samolot00099.png;-33.97444872
train;samolot00101.png;-33.74943747
train;samolot00103.png;-33.52442622
train;samolot00105.png;-33.29941497
train;samolot00107.png;-33.07440372
train;samolot00109.png;-32.84939247
train;samolot00111.png;-32.62438122
train;samolot00113.png;-32.39936997
train;samolot00115.png;-32.17435872
train;samolot00117.png;-31.94934747
train;samolot00119.png;-31.72433622
train;samolot00121.png;-31.49932497
train;samolot00123.png;-31.27431372
train;samolot00125.png;-31.04930247
train;samolot00127.png;-30.82429121
train;samolot00129.png;-30.59927996
train;samolot00131.png;-30.37426871
train;samolot00133.png;-30.14925746
train;samolot00135.png;-29.92424621
train;samolot00137.png;-29.69923496
train;samolot00139.png;-29.47422371
train;samolot00141.png;-29.24921246
train;samolot00143.png;-29.02420121
train;samolot00145.png;-28.79918996
train;samolot00147.png;-28.57417871
train;samolot00149.png;-28.34916746
train;samolot00151.png;-28.12415621
train;samolot00153.png;-27.89914496
train;samolot00155.png;-27.67413371
train;samolot00157.png;-27.44912246
train;samolot00159.png;-27.22411121
train;samolot00161.png;-26.99909995
train;samolot00163.png;-26.7740887
train;samolot00165.png;-26.54907745
train;samolot00167.png;-26.3240662
train;samolot00169.png;-26.09905495
train;samolot00171.png;-25.8740437
train;samolot00173.png;-25.64903245
train;samolot00175.png;-25.4240212
train;samolot00177.png;-25.19900995
train;samolot00179.png;-24.9739987
train;samolot00181.png;-24.74898745
train;samolot00183.png;-24.5239762
train;samolot00185.png;-24.29896495
train;samolot00187.png;-24.0739537
train;samolot00189.png;-23.84894245
train;samolot00191.png;-23.6239312
train;samolot00193.png;-23.39891995
train;samolot00195.png;-23.1739087
train;samolot00197.png;-22.94889744
train;samolot00199.png;-22.72388619
train;samolot00201.png;-22.49887494
train;samolot00203.png;-22.27386369
train;samolot00205.png;-22.04885244
train;samolot00207.png;-21.82384119
train;samolot00209.png;-21.59882994
train;samolot00211.png;-21.37381869
train;samolot00213.png;-21.14880744
train;samolot00215.png;-20.92379619
train;samolot00217.png;-20.69878494
